,bg_mean,subject,session,scan,bg_size,bg_std,dvars,efc,fber,fg_mean,fg_size,fg_std,fwhm,fwhm_x,fwhm_y,fwhm_z,gcor,ghost_y,m_tsnr,mean_fd,num_fd,outlier,perc_fd,quality,snr
1262,56.5348346507,sub-60011,session_1,bart,98342,80.3281727161,1.12095198273,0.576435072811,69.7083028277,798.681780606,40922,186.293550525,2.06128400891,2.04341,2.26729,1.8903875,0.0119755600808,0.0510041601956,62.645690918,0.0480274649762,0.0,,0.0,0.00506435093633,9.94273557584
1263,52.8291533152,sub-60014,session_1,pamenc,102090,75.0461719186,1.04306703138,0.557095775183,74.6581083516,774.25334409,37174,171.353991954,2.15192213728,2.12612683564,2.38932685655,1.96161511692,0.0568986324966,0.0330417305231,28.2607097626,0.319029000839,10.0,,4.11522633745,0.0242711977273,10.3170264958
1264,58.9799067852,sub-60080,session_1,scap,100759,83.7066006634,1.00780747918,0.573783220817,56.9085129656,752.665955105,38505,173.783746063,2.15648295448,2.09983333333,2.36864,2.016295,0.0350008923618,0.0501248911023,36.3985214233,0.2188718235,2.0,,0.684931506849,0.015064028488,8.99171569673
1265,40.3347801891,sub-10361,session_1,rest,105856,68.0988634772,1.15869762214,0.5225000709,81.9469459735,700.739601643,33408,149.34988383,1.93597840436,1.93427,2.09261,1.7926525,0.0335469558641,0.0250986237079,32.6594467163,0.30161685537,10.0,,6.53594771242,0.0226152315789,10.2900337225
1266,64.1969051991,sub-50081,session_1,bht,101449,91.0927373241,1.05618445668,0.566565444198,63.6157936782,867.21395687,37815,194.906400133,2.01220358287,1.98673,2.16629333333,1.89304,0.0614573253968,0.039019882679,51.4874305725,0.107550201085,0.0,,0.0,0.00824339265823,9.52012182689
1267,45.9601376248,sub-50005,session_1,rest,100776,62.4094264934,1.2163323868,0.560274849156,90.9558428161,723.124440698,38488,153.24631185,1.95908914922,1.95611666667,1.8700175,2.05552666667,0.0098310009256,0.0497380532324,58.8225708008,0.170334120099,0.0,,0.0,0.00787809559211,11.5867823393
1268,43.4582813111,sub-50069,session_1,stopsignal,111504,69.2532862615,1.12217252603,0.482151377813,108.432819839,827.426258652,27760,200.491785826,2.28814561763,2.27016,2.48994686455,2.119355,0.0165611877971,0.0275506731123,76.4956054688,0.0337058366361,0.0,,0.0,0.00292692940217,11.9478266422
1269,44.0306723743,sub-11105,session_1,scap,106182,68.4102686267,1.1429108485,0.528090667601,80.6808187475,715.85910872,33082,146.77228643,1.87824848451,1.87237,2.03407666667,1.7398025,0.0126116354497,0.0222377944738,65.3402862549,0.049854201481,0.0,,0.0,0.00600452865979,10.4642054927
1270,55.0726472107,sub-50060,session_1,taskswitch,100342,77.5489156964,1.12162157822,0.570254009585,62.8270934627,731.309805775,38922,183.21910751,2.24360798975,2.29873666667,2.08294262415,2.35871352079,0.0244844428802,0.044080529362,49.9992179871,0.175617413516,2.0,,0.956937799043,0.00721683466346,9.43030343116
1271,59.4329862459,sub-70075,session_1,bart,94707,85.8261425968,1.04236813887,0.602798381243,55.0368737951,756.494356461,44557,165.912045479,2.10163332245,2.04541,2.31269666667,1.96233011696,0.0166135396136,0.0479823201895,63.5404586792,0.0640303799068,0.0,,0.0,0.00532002906367,8.81426490311
1272,39.3622814786,sub-50064,session_1,pamret,110427,57.7291246928,1.16073233782,0.495811315437,111.285318728,719.527273811,28837,159.92981503,2.11721195088,2.1516,2.31694,1.9037825,0.0281564211584,0.0109595293179,45.9574279785,0.107032747685,0.0,,0.0,0.0108465500373,12.4638521308
1273,43.6669643237,sub-70083,session_1,bht,105145,66.5017291233,1.09179370384,0.526152180917,98.6536557044,772.688095558,34119,165.398775938,2.03202231099,1.99305,2.23285648922,1.8854125,0.0432966230282,0.0231098067015,56.7230758667,0.125771734521,0.0,,0.0,0.00921549936709,11.6190677407
